Ntriples,Ntrials,Mean Query2(ms), Std Query2(ms), Nres Query2,Mean Query3(ms), Std Query3(ms), Nres Query3,Mean Query4(ms), Std Query4(ms), Nres Query4,Mean Query5(ms), Std Query5(ms), Nres Query5,Mean Query6(ms), Std Query6(ms), Nres Query6,Mean Query7(ms), Std Query7(ms), Nres Query7
134496,10,4.40,0.49,16,4.50,0.67,16,1.60,0.66,4,4162.00,700.57,1,4239.80,630.47,10,212.20,43.99,10
135476,10,4.10,0.83,16,3.80,0.98,16,0.60,0.49,1,4021.60,581.20,1,4235.40,532.67,10,222.70,55.03,10
136432,10,3.00,0.45,16,3.90,0.70,16,0.70,0.46,1,4150.20,594.22,2,4272.70,509.49,10,352.50,394.18,10
137363,10,1.40,0.49,1,1.40,0.49,1,1.40,0.49,4,4110.40,643.92,2,4211.70,628.70,10,316.60,383.33,10
138322,10,3.80,0.60,16,1.00,0.45,1,0.70,0.46,1,4155.40,578.67,1,4288.90,627.66,10,356.40,408.88,10
139263,10,1.40,0.49,1,3.90,0.70,16,0.60,0.49,1,4204.80,599.22,2,4237.10,634.92,10,329.70,409.46,10
140217,10,1.10,0.30,1,4.20,0.75,16,0.70,0.46,1,4251.40,589.79,1,4294.20,562.39,10,228.50,60.02,10
141164,10,1.10,0.30,1,3.40,0.66,16,0.80,0.40,1,4165.80,567.46,1,4413.40,715.84,10,213.40,31.10,10
142155,10,1.10,0.54,1,3.50,0.50,16,1.10,0.54,4,4269.20,730.14,1,4369.20,621.51,10,315.70,364.22,10
143116,10,1.10,0.30,1,4.20,0.75,16,1.50,0.50,4,4357.80,610.16,2,4414.30,558.46,10,229.90,36.32,10
144075,10,3.60,0.80,16,3.70,0.78,16,0.90,0.30,1,4508.20,649.67,1,4379.10,608.61,10,344.80,361.13,10
145048,10,1.00,0.45,1,3.50,0.50,16,0.80,0.40,1,4292.90,673.81,1,4643.90,619.46,10,208.70,39.25,10
146007,10,4.60,0.66,16,1.40,0.49,1,0.80,0.60,1,4545.20,607.87,2,4640.70,611.45,10,203.40,27.32,10
146992,10,4.60,0.49,16,11.60,13.89,16,1.40,0.49,4,4565.90,642.76,2,4610.10,569.20,10,218.80,48.03,10
147997,10,1.30,0.46,1,4.10,0.94,16,1.10,0.30,4,4380.70,654.07,1,4805.00,621.28,10,210.00,39.34,10
148983,10,3.40,1.02,16,4.00,0.45,16,1.40,0.49,4,4597.00,656.89,2,4684.90,525.08,10,317.20,385.13,10
149934,10,3.50,0.67,16,3.70,0.90,16,0.70,0.64,1,4705.10,685.68,1,4741.00,575.26,10,221.10,52.21,10
150897,10,1.00,0.45,1,1.30,0.46,1,1.50,0.50,4,4790.50,643.45,2,4797.70,703.50,10,212.90,35.88,10
151903,10,1.20,0.40,1,3.40,0.66,16,1.00,0.00,4,4776.00,640.30,2,4785.00,675.44,10,221.90,33.76,10
152829,10,0.90,0.30,1,3.10,0.30,16,1.10,0.30,4,4876.80,624.19,1,4852.90,548.89,10,339.50,428.38,10
153794,10,1.20,0.40,1,4.20,0.87,16,1.10,0.54,4,4894.90,766.40,2,4647.30,609.22,10,358.60,383.26,10
154785,10,1.30,0.46,1,0.90,0.30,1,0.80,0.40,1,4656.60,801.52,1,4835.10,652.61,10,214.60,46.04,10
155723,10,1.70,0.90,1,1.20,0.40,1,2.00,0.45,4,4715.80,540.47,2,4869.70,649.53,10,355.20,375.56,10
156705,10,3.70,1.00,16,0.90,0.30,1,1.00,0.00,4,4701.20,695.92,2,4953.30,853.78,10,333.70,383.93,10
157695,10,4.30,0.46,16,1.40,0.49,1,1.40,0.49,4,4837.10,783.53,1,4953.40,855.34,10,218.20,39.31,10
158711,10,1.40,0.49,1,3.50,0.50,16,0.60,0.49,1,4883.90,737.19,1,4907.10,657.03,10,227.20,73.01,10
159710,10,1.40,0.66,1,3.80,0.75,16,1.40,0.49,4,4961.60,671.95,1,4914.80,643.91,10,396.50,432.66,10
160677,10,3.70,0.78,16,4.30,0.78,16,1.20,0.40,4,4939.60,524.27,2,4986.00,634.51,10,220.70,33.52,10
161621,10,3.50,1.02,16,4.10,0.83,16,0.90,0.30,1,4884.00,670.71,2,5028.20,559.34,10,342.30,409.37,10
162575,10,3.20,0.98,16,1.20,0.40,1,1.50,0.50,4,4953.30,615.58,2,5328.80,683.96,10,214.80,30.42,10
163586,10,1.50,0.50,1,1.30,0.46,1,1.50,0.67,4,4972.30,651.73,1,5303.30,628.00,10,206.50,43.83,10
164536,10,3.40,0.66,16,3.20,0.40,16,1.70,0.64,4,4954.80,566.26,2,5312.30,832.68,10,378.20,437.27,10
165502,10,3.80,0.75,16,1.00,0.45,1,1.30,0.46,4,5017.50,675.11,2,5274.70,617.79,10,344.80,429.60,10
166486,10,3.50,0.67,16,1.10,0.30,1,0.60,0.49,1,5170.40,762.36,2,5286.70,648.45,10,340.20,366.13,10
167477,10,0.90,0.30,1,1.20,0.40,1,0.70,0.46,1,5298.60,801.37,2,5239.70,752.14,10,371.20,427.34,10
