Ntriples,Ntrials,Mean Query2(ms), Std Query2(ms), Nres Query2,Mean Query3(ms), Std Query3(ms), Nres Query3,Mean Query4(ms), Std Query4(ms), Nres Query4,Mean Query5(ms), Std Query5(ms), Nres Query5,Mean Query6(ms), Std Query6(ms), Nres Query6,Mean Query7(ms), Std Query7(ms), Nres Query7
838136,10,16.40,45.54,1,2.10,0.30,16,1.20,0.40,4,2603.20,1334.97,1,5427.20,878.19,10,164.80,364.42,10
839073,10,6.30,12.24,16,2.20,0.40,16,0.90,0.30,1,2518.90,1390.19,2,2947.40,1319.14,10,172.60,379.15,10
840060,10,4.80,8.75,16,1.20,0.40,1,1.10,0.30,1,4190.70,499.60,1,2254.90,978.20,10,174.60,378.82,10
840992,10,7.50,16.17,16,2.20,0.40,16,1.40,0.49,4,3845.60,1393.24,2,3958.50,1237.39,10,45.10,3.51,10
841911,10,6.30,14.24,16,1.80,0.60,16,0.60,0.49,4,3018.20,1478.30,2,4438.50,1085.98,10,179.90,384.04,10
842948,10,4.80,11.07,1,0.90,0.54,1,0.70,0.46,1,3454.30,1225.98,2,3759.80,1440.64,10,200.40,454.91,10
843911,10,6.90,17.37,1,1.50,0.92,1,0.90,0.30,1,2616.00,1662.42,1,2296.40,1207.48,10,47.70,4.90,10
844852,10,4.70,9.12,16,1.80,0.60,16,0.90,0.30,4,4393.40,847.14,1,2275.30,1009.91,10,44.00,5.92,10
845797,10,5.90,11.38,16,2.40,0.66,16,0.80,0.40,1,4225.40,524.89,1,2684.20,1364.89,10,62.70,46.12,10
846746,10,8.30,19.91,16,1.10,0.54,1,0.90,0.30,4,2703.60,1373.68,1,4624.90,1581.23,10,48.80,3.49,10
847721,10,4.80,10.41,1,1.30,0.46,1,1.10,0.30,4,3105.30,1012.94,2,3575.70,1841.26,10,303.20,766.95,10
848728,10,5.20,9.95,16,2.00,0.45,16,1.00,0.00,1,2828.40,1675.38,2,3009.20,1520.46,10,47.30,4.08,10
849746,10,5.00,11.67,1,2.30,0.46,16,1.50,0.50,4,3770.60,1234.51,2,2113.90,918.08,10,55.30,3.32,10
850672,10,5.70,11.11,16,2.10,0.54,16,1.00,0.00,4,4373.70,584.21,2,2682.70,1246.90,10,53.70,18.24,10
851672,10,5.80,12.07,16,1.70,0.46,16,0.90,0.30,4,3561.80,1185.27,1,5045.50,862.61,10,65.40,42.52,10
852644,10,4.00,8.67,1,2.00,0.00,16,1.10,0.30,4,2886.40,1464.42,2,4345.20,1317.57,10,172.20,374.96,10
853610,10,4.20,9.60,1,0.80,0.40,1,0.70,0.46,4,3750.50,1464.13,2,2530.40,964.20,10,164.80,387.11,10
854630,10,4.90,9.37,16,2.20,0.75,16,1.10,0.30,4,4201.80,1492.82,2,2142.80,1132.60,10,189.70,435.13,10
855582,10,6.50,16.51,1,1.00,0.45,1,0.60,0.49,1,4458.20,468.41,1,3216.20,1068.74,10,169.20,373.96,10
856539,10,6.20,14.94,1,2.20,0.40,16,1.00,0.45,4,2286.80,1209.71,1,3687.60,1112.83,10,48.30,6.59,10
857520,10,6.50,15.84,1,1.60,0.49,16,0.80,0.40,1,4030.20,1343.79,1,3181.60,1661.24,10,172.20,375.32,10
858511,10,5.40,12.21,1,2.30,0.46,16,1.20,0.40,1,4119.00,1676.14,2,3057.10,1233.00,10,47.80,7.91,10
859527,10,5.60,13.14,1,2.00,0.00,16,0.80,0.40,1,4559.30,1124.21,2,3018.10,1099.31,10,47.60,5.26,10
860487,10,5.80,12.10,16,1.80,0.60,16,0.60,0.49,1,3176.00,1770.82,2,3843.00,1229.04,10,46.40,3.90,10
861460,10,5.80,12.41,16,1.40,0.49,16,0.80,0.60,4,2314.30,1296.36,2,4418.30,681.39,10,177.40,389.56,10
862452,10,5.10,10.31,16,1.80,0.60,16,0.80,0.40,1,3118.60,1477.09,2,3489.30,1867.00,10,168.10,367.35,10
863424,10,4.50,10.17,1,1.50,0.50,16,0.80,0.40,4,4592.20,1713.23,2,3060.00,1124.88,10,55.70,21.56,10
864437,10,5.30,9.90,16,2.10,0.30,16,1.10,0.30,4,5073.30,665.44,1,3743.60,1526.23,10,47.60,5.80,10
865396,10,5.00,9.37,16,1.70,0.64,16,0.90,0.30,4,2973.70,1195.67,2,3806.60,770.17,10,190.50,398.54,10
866306,10,5.60,11.14,16,288.60,859.47,16,1.10,0.54,4,2415.50,1285.25,2,4450.70,492.11,10,171.50,380.53,10
867266,10,4.60,10.14,1,2.10,1.70,1,1.00,0.00,1,3494.00,1385.09,2,3929.00,1856.83,10,171.90,364.38,10
